ID,Parent,Type,Images,Nicotine Product,Brands,SKU,Name,Short description,Description,Bowl Size,Weight (lbs),Length (in),Width (in),Height (in),,Tax status,Tax class,,Stock,Low stock amount,,,,Sale price,Regular price,Categories,Tags,Shipping class,,,,,,,Cross-sells,,Button text,,,,Visibility in catalog,,,,,,,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,,,,,,,,,,,,,,,,
9803,id:9799,variation,https://sigdistro.com/wp-content/uploads/2023/04/IMG_9217.png,FALSE,CRAVE,C-RO 1210 - Amber,Crave Glass Long Mouthpiece Rig |REF: C-RO 1210|,,,,,,,,,taxable,parent,,,,,,,,18,,,,,,,,,,,,,,,visible,,,,,,,Color,Amber,,,,,,,,,,,,,,,,,,,,,,
9804,id:9799,variation,https://sigdistro.com/wp-content/uploads/2023/04/IMG_9216.png,FALSE,CRAVE,C-RO 1210,Crave Glass Long Mouthpiece Rig |REF: C-RO 1210|,,,,,,,,,taxable,parent,,,,,,,,18,,,,,,,,,,,,,,,visible,,,,,,,Color,Blue,,,,,,,,,,,,,,,,,,,,,,
9809,,variable,"https://sigdistro.com/wp-content/uploads/2023/04/IMG_9240.png, https://sigdistro.com/wp-content/uploads/2023/04/IMG_9238.png, https://sigdistro.com/wp-content/uploads/2023/04/IMG_9240.png, https://sigdistro.com/wp-content/uploads/2023/04/IMG_9241.png, https://sigdistro.com/wp-content/uploads/2023/04/IMG_9243.png",FALSE,CRAVE,,Crave Glass Waffle Water Pipe |REF: C-RO 1214|,"This Crave Glass waffle water pipe stands at 8.5"" and is fitted with a circle percolator. The elongated mouth piece allows for anti-splash and extra air filtration upwards. This bong is also fitted with a waffle pendant secured to the side. This water pipe comes in four different colors with a drop detail.
\n<ul>
\n 	<li><strong>Height 8.5""</strong></li>
\n 	<li><strong>Circle percolator</strong></li>
\n 	<li><strong>Waffle pendant</strong></li>
\n 	<li><strong>Drop detail</strong></li>
\n 	<li><strong>14mm male bowl</strong></li>
\n 	<li><strong>Gift bag included</strong></li>
\n</ul>","This Crave Glass waffle water pipe stands at 8.5"" and is fitted with a circle percolator. The elongated mouth piece allows for anti-splash and extra air filtration upwards. This bong is also fitted with a waffle pendant secured to the side for.
\n
\n&nbsp;",,,,,,,taxable,,,,,,,,,,"Crave, Smoking Pipes > Glass Water Pipes, Smoking Pipes","Crave, Water Pipes",,,,,,,,,,,,,visible,,,,,,,Color,"Teal, Green, Yellow, Grey",1,,,,,,,,,,,,,,,,,,,,,
9810,id:9809,variation,https://sigdistro.com/wp-content/uploads/2023/04/IMG_9238.png,FALSE,CRAVE,C-RO 1214 - Teal,Crave Glass Waffle Water Pipe |REF: C-RO 1214|,,,,,,,,,taxable,parent,,,,,,,,25,,,,,,,,,,,,,,,visible,,,,,,,Color,Teal,,,,,,,,,,,,,,,,,,,,,,
9811,id:9809,variation,https://sigdistro.com/wp-content/uploads/2023/04/IMG_9241.png,FALSE,CRAVE,C-RO 1214 - Green,Crave Glass Waffle Water Pipe |REF: C-RO 1214|,,,,,,,,,taxable,parent,,,,,,,,25,,,,,,,,,,,,,,,visible,,,,,,,Color,Green,,,,,,,,,,,,,,,,,,,,,,
9812,id:9809,variation,https://sigdistro.com/wp-content/uploads/2023/04/IMG_9243.png,FALSE,CRAVE,C-RO 1214 - Yellow,Crave Glass Waffle Water Pipe |REF: C-RO 1214|,,,,,,,,,taxable,parent,,,,,,,,25,,,,,,,,,,,,,,,visible,,,,,,,Color,Yellow,,,,,,,,,,,,,,,,,,,,,,
9813,id:9809,variation,https://sigdistro.com/wp-content/uploads/2023/04/IMG_9240.png,FALSE,CRAVE,C-RO 1214 - Grey,Crave Glass Waffle Water Pipe |REF: C-RO 1214|,,,,,,,,,taxable,parent,,,,,,,,25,,,,,,,,,,,,,,,visible,,,,,,,Color,Grey,,,,,,,,,,,,,,,,,,,,,,
9818,,variable,"https://sigdistro.com/wp-content/uploads/2023/04/IMG_9177.png, https://sigdistro.com/wp-content/uploads/2023/04/IMG_9177.png, https://sigdistro.com/wp-content/uploads/2023/04/IMG_9178.png, https://sigdistro.com/wp-content/uploads/2023/04/IMG_9179.png, https://sigdistro.com/wp-content/uploads/2023/04/IMG_9180.png",FALSE,CRAVE,,Crave Glass Fixed Downstem Water Pipe |REF: C-RO 1239|,"This Crave Glass water pipe stand at 7""  with a slit fixed down stem for slight airflow through the openings for air flow recycling. The smoke then flows through a decorative ball and out the widened mouth piece.
\n<ul>
\n 	<li><strong>Attached perforated down stem</strong></li>
\n 	<li><strong>14mm male bowl</strong></li>
\n 	<li><strong>Decorative ball</strong></li>
\n 	<li><strong>Height 7""</strong></li>
\n 	<li><strong>Gift bag included</strong></li>
\n</ul>",This Crave Glass water pipe comes with a slit fixed down stem for slight airflow recycling. Available in four different colors this water pipe is sure to stand out on your shelves. Eye catching colors and details complete this simple bong.,,,,,,,taxable,,,,,,,,,,"Crave, Smoking Pipes > Glass Water Pipes, Smoking Pipes","Crave, Water Pipes",,,,,,,,,,,,,visible,,,,,,,Color,"Purple, Blue-D, Teal, Yellow",1,,,,,,,,,,,,,,,,,,,,,
9820,id:9818,variation,https://sigdistro.com/wp-content/uploads/2023/04/IMG_9180.png,FALSE,CRAVE,C-RO 1239 - Purple,Crave Glass Fixed Downstem Water Pipe |REF: C-RO 1239|,,,,,,,,,taxable,parent,,,,,,,,20,,,,,,,,,,,,,,,visible,,,,,,,Color,Purple,,,,,,,,,,,,,,,,,,,,,,
9821,id:9818,variation,https://sigdistro.com/wp-content/uploads/2023/04/IMG_9177.png,FALSE,CRAVE,C-RO 1239 - Blue D,Crave Glass Fixed Downstem Water Pipe |REF: C-RO 1239|,,,,,,,,,taxable,parent,,,,,,,,20,,,,,,,,,,,,,,,visible,,,,,,,Color,Blue-D,,,,,,,,,,,,,,,,,,,,,,
